,date,H_team,A_team,arena,H_score,A_score,winner,loser,g_type,conf,free,H_foulO,A_foul,H_of,H_df,A_of,H_oR,H_dR,A_oR,A_dR,H_Tf,A_Tu
7610,2012-01-18 00:00:00,New Mexico,San Diego State Aztecs,The Pit/Bob King Court,70,75,San Diego State Aztecs,New Mexico,REG,The Pit/Bob King Court,,,,,,,,,,,,
6505,2011-12-30 00:00:00,Santa Clara,Wagner Seahawks,Leavey Center,62,64,Wagner Seahawks,Santa Clara,REG,Leavey Center,,,,,,,,,,,,
4798,2012-02-11 00:00:00,Alabama A&M Bulldogs,Alabama State,Elmore Health Science Building,47,57,Alabama State,Alabama A&M Bulldogs,REG,Elmore Health Science Building,,,,,,,,,,,,
6620,2012-02-18 00:00:00,Alabama A&M Bulldogs,Southern,Elmore Health Science Building,65,72,Southern,Alabama A&M Bulldogs,REG,Elmore Health Science Building,,,,,,,,,,,,
8221,2011-11-16 00:00:00,San Francisco,San Jose State Spartans,War Memorial Gymnasium,83,81,San Francisco,San Jose State Spartans,REG,War Memorial Gymnasium,,,,,,,,,,,,
5310,2011-12-22 00:00:00,Georgia State,Georgia Southern Eagles,GSU Sports Arena,72,52,Georgia State,Georgia Southern Eagles,REG,GSU Sports Arena,,,,,,,,,,,,
6029,2012-02-27 00:00:00,Texas Southern,Alabama A&M Bulldogs,Health & Physical Education Arena,69,59,Texas Southern,Alabama A&M Bulldogs,REG,Health & Physical Education Arena,,,,,,,,,,,,
7384,2012-01-06 00:00:00,Siena Saints,Fairfield,Times Union Center,73,60,Siena Saints,Fairfield,REG,Times Union Center,,,,,,,,,,,,
7308,2012-01-15 00:00:00,Valparaiso Crusaders,Cleveland State,Athletics-Recreation Center,72,66,Valparaiso Crusaders,Cleveland State,REG,Athletics-Recreation Center,,,,,,,,,,,,
6303,2012-01-28 00:00:00,Yale Bulldogs,Dartmouth,John J. Lee Ampitheater,62,52,Yale Bulldogs,Dartmouth,REG,John J. Lee Ampitheater,,,,,,,,,,,,
6098,2012-03-13 00:00:00,Mercer,Tennessee State Tigers,University Center,68,60,Mercer,Tennessee State Tigers,CIT,University Center,,,,,,,,,,,,
5594,2011-11-22 00:00:00,Princeton Tigers,Elon,Jadwin Gymnasium,55,56,Elon,Princeton Tigers,REG,Jadwin Gymnasium,,,,,,,,,,,,
7193,2011-11-24 00:00:00,Dartmouth,San Francisco Dons,,69,71,San Francisco Dons,Dartmouth,REG,,,,,,,,,,,,,
4693,2011-11-14 00:00:00,Illinois,Southern Illinois-Edwardsville Cougars,Assembly Hall,66,46,Illinois,Southern Illinois-Edwardsville Cougars,REG,Assembly Hall,,,,,,,,,,,,
5498,2012-02-23 00:00:00,Youngstown State,Wright State Raiders,Beeghly Center,61,54,Youngstown State,Wright State Raiders,REG,Beeghly Center,,,,,,,,,,,,
4800,2011-11-20 00:00:00,Nevada,Prairie View Panthers,Lawlor Events Center,60,47,Nevada,Prairie View Panthers,REG,Lawlor Events Center,,,,,,,,,,,,
4898,2012-02-11 00:00:00,Prairie View Panthers,Jackson State,William J. Nicks Building,48,62,Jackson State,Prairie View Panthers,REG,William J. Nicks Building,,,,,,,,,,,,
6675,2011-12-03 00:00:00,Buffalo,St. Bonaventure Bonnies,Alumni Arena,60,66,St. Bonaventure Bonnies,Buffalo,REG,Alumni Arena,,,,,,,,,,,,
5034,2011-12-20 00:00:00,Virginia Commonwealth,Alabama-Birmingham Blazers,Alltel Pavilion at the Stuart C. Siegel Center,68,49,Virginia Commonwealth,Alabama-Birmingham Blazers,REG,Alltel Pavilion at the Stuart C. Siegel Center,,,,,,,,,,,,
7099,2011-12-15 00:00:00,William & Mary Tribe,Wesley,Kaplan Arena at William and Mary Hall,70,47,William & Mary Tribe,Wesley,REG,Kaplan Arena at William and Mary Hall,,,,,,,,,,,,
5700,2012-01-28 00:00:00,Morehead State Eagles,Tennessee Tech,Ellis T. Johnson Arena,56,50,Morehead State Eagles,Tennessee Tech,REG,Ellis T. Johnson Arena,,,,,,,,,,,,
9301,2011-11-21 00:00:00,Chaminade,UCLA Bruins,Lahaina Civic Center,60,92,UCLA Bruins,Chaminade,REG,Lahaina Civic Center,,,,,,,,,,,,
6209,2012-02-25 00:00:00,St. John's (NY) Red Storm,Notre Dame (20),Madison Square Garden (IV),61,58,St. John's (NY) Red Storm,Notre Dame (20),REG,Madison Square Garden (IV),,,,,,,,,,,,
5981,2012-03-16 00:00:00,Cincinnati,Texas Longhorns,,65,59,Cincinnati,Texas Longhorns,NCAA,,,,,,,,,,,,,
5984,2012-01-11 00:00:00,Tulsa Golden Hurricane,Texas-El Paso,Donald W. Reynolds Center,59,48,Tulsa Golden Hurricane,Texas-El Paso,REG,Donald W. Reynolds Center,,,,,,,,,,,,
5592,2012-02-27 00:00:00,Virginia Military Institute Keydets,Radford,Cameron Hall,55,53,Virginia Military Institute Keydets,Radford,CTOURN,Cameron Hall,,,,,,,,,,,,
4181,2012-01-02 00:00:00,Auburn,Bethune-Cookman Wildcats,Auburn Arena,67,41,Auburn,Bethune-Cookman Wildcats,REG,Auburn Arena,,,,,,,,,,,,
5674,2012-02-18 00:00:00,Bradley,Loyola (IL) Ramblers,Carver Arena,44,56,Loyola (IL) Ramblers,Bradley,REG,Carver Arena,,,,,,,,,,,,
6713,2012-01-21 00:00:00,Wagner Seahawks,Long Island University,Spiro Sports Center,66,73,Long Island University,Wagner Seahawks,REG,Spiro Sports Center,,,,,,,,,,,,
8082,2011-11-20 00:00:00,Florida State Seminoles,South Alabama,Donald L. Tucker Center,80,39,Florida State Seminoles,South Alabama,REG,Donald L. Tucker Center,,,,,,,,,,,,
6182,2012-03-03 00:00:00,Hawaii,Utah State Aggies,Stan Sheriff Center,60,61,Utah State Aggies,Hawaii,REG,Stan Sheriff Center,,,,,,,,,,,,
7181,2011-12-01 00:00:00,Green Bay Phoenix,Illinois-Chicago,Resch Center,71,68,Green Bay Phoenix,Illinois-Chicago,REG,Resch Center,,,,,,,,,,,,
4600,2012-02-11 00:00:00,Memphis,Alabama-Birmingham Blazers,FedExForum,79,45,Memphis,Alabama-Birmingham Blazers,REG,FedExForum,,,,,,,,,,,,
4757,2012-02-15 00:00:00,Southern Methodist,Alabama-Birmingham Blazers,Moody Coliseum,28,47,Alabama-Birmingham Blazers,Southern Methodist,REG,Moody Coliseum,,,,,,,,,,,,
8203,2012-01-19 00:00:00,Weber State Wildcats,Northern Arizona,Dee Events Center,81,67,Weber State Wildcats,Northern Arizona,REG,Dee Events Center,,,,,,,,,,,,
6215,2012-01-21 00:00:00,VCU Rams,Old Dominion,Alltel Pavilion at the Stuart C. Siegel Center,61,48,VCU Rams,Old Dominion,REG,Alltel Pavilion at the Stuart C. Siegel Center,,,,,,,,,,,,
6905,2011-11-25 00:00:00,Saint Louis,Villanova Wildcats,,80,68,Saint Louis,Villanova Wildcats,REG,,,,,,,,,,,,,
6387,2011-12-03 00:00:00,Wright State Raiders,Youngstown State,Ervin J. Nutter Center,63,62,Wright State Raiders,Youngstown State,REG,Ervin J. Nutter Center,,,,,,,,,,,,
7271,2011-11-11 00:00:00,Fairfield Stags,Quinnipiac,,72,60,Fairfield Stags,Quinnipiac,REG,,,,,,,,,,,,,
5482,2011-12-01 00:00:00,Texas A&M-Corpus Christi Islanders,Texas Tech,American Bank Center,54,61,Texas Tech,Texas A&M-Corpus Christi Islanders,REG,American Bank Center,,,,,,,,,,,,
4994,2012-02-01 00:00:00,Hofstra,Towson Tigers,Mack Sports Complex,74,49,Hofstra,Towson Tigers,REG,Mack Sports Complex,,,,,,,,,,,,
4095,2011-11-13 00:00:00,Cincinnati (21),Alabama State Hornets,Fifth Third Arena,65,40,Cincinnati (21),Alabama State Hornets,REG,Fifth Third Arena,,,,,,,,,,,,
6095,2012-01-18 00:00:00,Rice Owls,Alabama-Birmingham,Tudor Fieldhouse,60,61,Alabama-Birmingham,Rice Owls,REG,Tudor Fieldhouse,,,,,,,,,,,,
6618,2012-02-22 00:00:00,Marquette (10),Rutgers Scarlet Knights,Bradley Center,82,65,Marquette (10),Rutgers Scarlet Knights,REG,Bradley Center,,,,,,,,,,,,
5602,2011-11-30 00:00:00,Minnesota,Virginia Tech Hokies,Williams Arena,58,55,Minnesota,Virginia Tech Hokies,REG,Williams Arena,,,,,,,,,,,,
6081,2012-01-25 00:00:00,Stony Brook Seawolves,Hartford,Pritchard Gymnasium,60,37,Stony Brook Seawolves,Hartford,REG,Pritchard Gymnasium,,,,,,,,,,,,
4908,2011-11-26 00:00:00,Louisiana Tech Bulldogs,Portland State,Arena-Auditorium,48,66,Portland State,Louisiana Tech Bulldogs,REG,Arena-Auditorium,,,,,,,,,,,,
8891,2011-12-22 00:00:00,North Carolina State Wolfpack,Northeastern,RBC Center,88,59,North Carolina State Wolfpack,Northeastern,REG,RBC Center,,,,,,,,,,,,
3596,2011-12-17 00:00:00,Saint Louis,Alabama State Hornets,Chaifetz Arena,65,35,Saint Louis,Alabama State Hornets,REG,Chaifetz Arena,,,,,,,,,,,,
4608,2011-12-28 00:00:00,South Carolina,Wofford Terriers,The Colonial Life Arena,57,45,South Carolina,Wofford Terriers,REG,The Colonial Life Arena,,,,,,,,,,,,
5714,2012-01-16 00:00:00,Mississippi Valley State,Southern Jaguars,Harrison HPER Complex,77,56,Mississippi Valley State,Southern Jaguars,REG,Harrison HPER Complex,,,,,,,,,,,,
7912,2012-01-28 00:00:00,UTSA Roadrunners,Sam Houston State,Convocation Center,78,66,UTSA Roadrunners,Sam Houston State,REG,Convocation Center,,,,,,,,,,,,
7377,2012-01-05 00:00:00,Texas Southern Tigers,Southern,Health & Physical Education Arena,73,39,Texas Southern Tigers,Southern,REG,Health & Physical Education Arena,,,,,,,,,,,,
8228,2011-11-14 00:00:00,Gonzaga (22),Washington State Cougars,McCarthey Athletic Center,89,81,Gonzaga (22),Washington State Cougars,REG,McCarthey Athletic Center,,,,,,,,,,,,
6085,2012-03-01 00:00:00,Virginia Cavaliers,Florida State (22),John Paul Jones Arena,60,63,Florida State (22),Virginia Cavaliers,REG,John Paul Jones Arena,,,,,,,,,,,,
6276,2011-11-12 00:00:00,Manhattan Jaspers,NJIT,Draddy Gymnasium,62,48,Manhattan Jaspers,NJIT,REG,Draddy Gymnasium,,,,,,,,,,,,
5375,2012-01-08 00:00:00,Manhattan Jaspers,Fairfield,Draddy Gymnasium,53,51,Manhattan Jaspers,Fairfield,REG,Draddy Gymnasium,,,,,,,,,,,,
6106,2012-01-18 00:00:00,Morehead State Eagles,Murray State (12),Ellis T. Johnson Arena,60,66,Murray State (12),Morehead State Eagles,REG,Ellis T. Johnson Arena,,,,,,,,,,,,
5718,2011-11-30 00:00:00,Brown,Rhode Island Rams,Pizzitola Sports Center,65,56,Brown,Rhode Island Rams,REG,Pizzitola Sports Center,,,,,,,,,,,,
5803,2011-11-26 00:00:00,Northern Colorado,Southern Jaguars,,77,57,Northern Colorado,Southern Jaguars,REG,,,,,,,,,,,,,
6700,2012-02-11 00:00:00,Appalachian State,Wofford Terriers,Holmes Convocation Center,64,66,Wofford Terriers,Appalachian State,REG,Holmes Convocation Center,,,,,,,,,,,,
5895,2012-01-12 00:00:00,Duke (8),Virginia Cavaliers,Cameron Indoor Stadium,61,58,Duke (8),Virginia Cavaliers,REG,Cameron Indoor Stadium,,,,,,,,,,,,
6193,2012-03-13 00:00:00,Seton Hall,Stony Brook Seawolves,Prudential Center,63,61,Seton Hall,Stony Brook Seawolves,NIT,Prudential Center,,,,,,,,,,,,
5788,2011-11-22 00:00:00,Navy,Tulane Green Wave,Alumni Hall,55,57,Tulane Green Wave,Navy,REG,Alumni Hall,,,,,,,,,,,,
7892,2012-01-12 00:00:00,Wagner Seahawks,Bryant,Spiro Sports Center,78,61,Wagner Seahawks,Bryant,REG,Spiro Sports Center,,,,,,,,,,,,
5386,2012-01-07 00:00:00,Utah Utes,Washington,Jon M. Huntsman Center,53,57,Washington,Utah Utes,REG,Jon M. Huntsman Center,,,,,,,,,,,,
6025,2012-02-25 00:00:00,Texas Southern,Alabama State Hornets,Health & Physical Education Arena,67,59,Texas Southern,Alabama State Hornets,REG,Health & Physical Education Arena,,,,,,,,,,,,
6014,2011-12-19 00:00:00,Southern California,Texas Christian Horned Frogs,Galen Center,83,59,Southern California,Texas Christian Horned Frogs,REG,Galen Center,,,,,,,,,,,,
6373,2011-12-10 00:00:00,Columbia Lions,Long Island University,Levien Gym,63,53,Columbia Lions,Long Island University,REG,Levien Gym,,,,,,,,,,,,
4960,2012-03-03 00:00:00,Alabama State Hornets,Jackson State,ASU Acadome,49,46,Alabama State Hornets,Jackson State,REG,ASU Acadome,,,,,,,,,,,,
5689,2011-11-14 00:00:00,Colorado State,SMU Mustangs,,75,56,Colorado State,SMU Mustangs,REG,,,,,,,,,,,,,
6471,2012-02-08 00:00:00,Navy,Holy Cross Crusaders,Alumni Hall,52,64,Holy Cross Crusaders,Navy,REG,Alumni Hall,,,,,,,,,,,,
6259,2011-11-30 00:00:00,William & Mary Tribe,Richmond,Kaplan Arena at William and Mary Hall,61,92,Richmond,William & Mary Tribe,REG,Kaplan Arena at William and Mary Hall,,,,,,,,,,,,
7078,2011-11-11 00:00:00,Hartford,Sacred Heart Pioneers,Mohegan Sun Arena,50,70,Sacred Heart Pioneers,Hartford,REG,Mohegan Sun Arena,,,,,,,,,,,,
6576,2012-03-03 00:00:00,Valparaiso Crusaders,Butler,Athletics-Recreation Center,65,46,Valparaiso Crusaders,Butler,CTOURN,Athletics-Recreation Center,,,,,,,,,,,,
8284,2012-02-04 00:00:00,Vermont Catamounts,Hartford,Roy L. Patrick Gymnasium,82,56,Vermont Catamounts,Hartford,REG,Roy L. Patrick Gymnasium,,,,,,,,,,,,
7307,2012-02-09 00:00:00,Murray State (9),Tennessee State Tigers,Regional Special Events Center,68,72,Tennessee State Tigers,Murray State (9),REG,Regional Special Events Center,,,,,,,,,,,,
5574,2011-11-11 00:00:00,Fresno State Bulldogs,Illinois State,Save Mart Center,55,47,Fresno State Bulldogs,Illinois State,REG,Save Mart Center,,,,,,,,,,,,
6307,2011-11-19 00:00:00,Utah State,Southern Utah Thunderbirds,Dee Glen Smith Spectrum,65,62,Utah State,Southern Utah Thunderbirds,REG,Dee Glen Smith Spectrum,,,,,,,,,,,,
6281,2011-12-10 00:00:00,Towson,UMBC Retrievers,Towson Center,58,62,UMBC Retrievers,Towson,REG,Towson Center,,,,,,,,,,,,
5901,2012-02-22 00:00:00,San Diego State (24),Wyoming Cowboys,Viejas Arena,67,58,San Diego State (24),Wyoming Cowboys,REG,Viejas Arena,,,,,,,,,,,,
7006,2012-02-04 00:00:00,Campbell,Presbyterian Blue Hose,John W. Pope Jr. Convocation Center,67,69,Presbyterian Blue Hose,Campbell,REG,John W. Pope Jr. Convocation Center,,,,,,,,,,,,
7300,2012-03-08 00:00:00,McNeese State,Texas-Arlington Mavericks,,92,72,McNeese State,Texas-Arlington Mavericks,CTOURN,,,,,,,,,,,,,
7378,2012-03-09 00:00:00,Michigan Wolverines,Minnesota,,73,69,Michigan Wolverines,Minnesota,CTOURN,,,,,,,,,,,,,
7483,2012-02-06 00:00:00,South Carolina State Bulldogs,Longwood,SHM Memorial Center,74,58,South Carolina State Bulldogs,Longwood,REG,SHM Memorial Center,,,,,,,,,,,,
6980,2011-12-03 00:00:00,UCLA,Texas Longhorns,L. A. Sports Arena,59,69,Texas Longhorns,UCLA,REG,L. A. Sports Arena,,,,,,,,,,,,
5287,2012-02-09 00:00:00,Cal Poly,UC-Riverside Highlanders,Robert A. Mott Gymnasium,54,52,Cal Poly,UC-Riverside Highlanders,REG,Robert A. Mott Gymnasium,,,,,,,,,,,,
6004,2011-12-29 00:00:00,Stanford,UCLA Bruins,Maples Pavilion,60,59,Stanford,UCLA Bruins,REG,Maples Pavilion,,,,,,,,,,,,
7208,2012-01-07 00:00:00,Utah State Aggies,Nevada,Dee Glen Smith Spectrum,71,78,Nevada,Utah State Aggies,REG,Dee Glen Smith Spectrum,,,,,,,,,,,,
5504,2011-12-23 00:00:00,Pitt Panthers,Wagner,Petersen Events Center,54,59,Wagner,Pitt Panthers,REG,Petersen Events Center,,,,,,,,,,,,
7310,2011-11-26 00:00:00,Western Kentucky Hilltoppers,Southeastern Louisiana,E.A. Diddle Arena,72,67,Western Kentucky Hilltoppers,Southeastern Louisiana,REG,E.A. Diddle Arena,,,,,,,,,,,,
6987,2011-12-04 00:00:00,Arkansas-Little Rock,SMU Mustangs,Jack Stephens Center,63,69,SMU Mustangs,Arkansas-Little Rock,REG,Jack Stephens Center,,,,,,,,,,,,
6869,2012-03-10 00:00:00,New Mexico Lobos,San Diego State (18),,68,59,New Mexico Lobos,San Diego State (18),CTOURN,,,,,,,,,,,,,
5902,2011-12-17 00:00:00,Saint Joseph's,Villanova Wildcats,Hagan Arena,74,58,Saint Joseph's,Villanova Wildcats,REG,Hagan Arena,,,,,,,,,,,,
5291,2012-01-21 00:00:00,Maine Black Bears,Stony Brook,Alfond Arena,52,58,Stony Brook,Maine Black Bears,REG,Alfond Arena,,,,,,,,,,,,
6284,2011-12-17 00:00:00,Northern Illinois,Southern Illinois Salukis,Convocation Center,49,62,Southern Illinois Salukis,Northern Illinois,REG,Convocation Center,,,,,,,,,,,,
8007,2012-03-15 00:00:00,Harvard,Vanderbilt Commodores,The Pit/Bob King Court,70,79,Vanderbilt Commodores,Harvard,NCAA,The Pit/Bob King Court,,,,,,,,,,,,
6791,2012-01-14 00:00:00,Wagner Seahawks,Central Connecticut State,Spiro Sports Center,67,58,Wagner Seahawks,Central Connecticut State,REG,Spiro Sports Center,,,,,,,,,,,,
5186,2012-02-15 00:00:00,Stephen F. Austin,Texas-Arlington Mavericks,William Johnson Coliseum,47,51,Texas-Arlington Mavericks,Stephen F. Austin,REG,William Johnson Coliseum,,,,,,,,,,,,
6365,2012-03-08 00:00:00,Alabama Crimson Tide,South Carolina,,63,57,Alabama Crimson Tide,South Carolina,CTOURN,,,,,,,,,,,,,
6392,2012-03-03 00:00:00,Kansas (3),Texas Longhorns,Allen Fieldhouse,73,63,Kansas (3),Texas Longhorns,REG,Allen Fieldhouse,,,,,,,,,,,,
5793,2012-01-07 00:00:00,Cal State Bakersfield,Texas-Rio Grande Valley Vaqueros,Rabobank Arena,72,57,Cal State Bakersfield,Texas-Rio Grande Valley Vaqueros,REG,Rabobank Arena,,,,,,,,,,,,
5722,2011-11-11 00:00:00,Pittsburgh (10),Albany (NY) Great Danes,Petersen Events Center,89,56,Pittsburgh (10),Albany (NY) Great Danes,REG,Petersen Events Center,,,,,,,,,,,,
7782,2012-02-13 00:00:00,South Carolina Upstate Spartans,North Florida,G.B. Hodge Center,77,52,South Carolina Upstate Spartans,North Florida,REG,G.B. Hodge Center,,,,,,,,,,,,
7525,2011-12-29 00:00:00,Belmont,Marshall Thundering Herd,Curb Event Center,79,74,Belmont,Marshall Thundering Herd,REG,Curb Event Center,,,,,,,,,,,,
8570,2011-11-21 00:00:00,Albany (NY) Great Danes,Monmouth,,85,49,Albany (NY) Great Danes,Monmouth,REG,,,,,,,,,,,,,
4702,2012-01-31 00:00:00,Penn State Nittany Lions,Wisconsin (19),Bryce Jordan Center,46,52,Wisconsin (19),Penn State Nittany Lions,REG,Bryce Jordan Center,,,,,,,,,,,,
6998,2011-12-10 00:00:00,Wofford Terriers,Virginia Wise,Benjamin Johnson Arena,69,66,Wofford Terriers,Virginia Wise,REG,Benjamin Johnson Arena,,,,,,,,,,,,
8200,2011-12-06 00:00:00,Texas State Bobcats,Houston,Strahan Coliseum,81,78,Texas State Bobcats,Houston,REG,Strahan Coliseum,,,,,,,,,,,,
6087,2012-02-04 00:00:00,Oklahoma State Cowboys,Baylor (6),Gallagher-Iba Arena,60,64,Baylor (6),Oklahoma State Cowboys,REG,Gallagher-Iba Arena,,,,,,,,,,,,
8781,2011-12-07 00:00:00,Albany (NY) Great Danes,Colgate,SEFCU Arena,87,63,Albany (NY) Great Danes,Colgate,REG,SEFCU Arena,,,,,,,,,,,,
8314,2011-12-07 00:00:00,Oakland Golden Grizzlies,Ohio,Athletics Center O'rena,82,84,Ohio,Oakland Golden Grizzlies,REG,Athletics Center O'rena,,,,,,,,,,,,
7713,2011-12-18 00:00:00,UT-Martin Skyhawks,IPFW,Skyhawk Arena,76,82,IPFW,UT-Martin Skyhawks,REG,Skyhawk Arena,,,,,,,,,,,,
8308,2011-12-24 00:00:00,Hawaii,Xavier Musketeers,,84,82,Hawaii,Xavier Musketeers,REG,,,,,,,,,,,,,
7325,2012-01-14 00:00:00,Jackson State,Prairie View Panthers,Lee E. Williams Athletics and Assembly Center,66,72,Prairie View Panthers,Jackson State,REG,Lee E. Williams Athletics and Assembly Center,,,,,,,,,,,,
6606,2012-01-26 00:00:00,Winthrop Eagles,Liberty,Winthrop Coliseum,65,63,Winthrop Eagles,Liberty,REG,Winthrop Coliseum,,,,,,,,,,,,
8876,2012-01-02 00:00:00,Albany (NY) Great Danes,Hartford,SEFCU Arena,88,63,Albany (NY) Great Danes,Hartford,REG,SEFCU Arena,,,,,,,,,,,,
8986,2012-01-14 00:00:00,Houston,Memphis Tigers,Hofheinz Pavilion,55,89,Memphis Tigers,Houston,REG,Hofheinz Pavilion,,,,,,,,,,,,
6908,2012-02-29 00:00:00,Texas-El Paso,Rice Owls,Don Haskins Center,61,68,Rice Owls,Texas-El Paso,REG,Don Haskins Center,,,,,,,,,,,,
8685,2012-01-01 00:00:00,Southern Illinois Salukis,Illinois State,The SIU Arena,86,71,Southern Illinois Salukis,Illinois State,REG,The SIU Arena,,,,,,,,,,,,
7700,2011-12-03 00:00:00,East Carolina,Charlotte 49ers,Williams Arena at Minges Coliseum,64,76,Charlotte 49ers,East Carolina,REG,Williams Arena at Minges Coliseum,,,,,,,,,,,,
5799,2011-11-25 00:00:00,Northern Colorado,Western Carolina Catamounts,,74,57,Northern Colorado,Western Carolina Catamounts,REG,,,,,,,,,,,,,
7016,2011-12-20 00:00:00,Utah State,Texas-Arlington Mavericks,Dee Glen Smith Spectrum,73,69,Utah State,Texas-Arlington Mavericks,REG,Dee Glen Smith Spectrum,,,,,,,,,,,,
7504,2011-12-27 00:00:00,Texas Tech Red Raiders,Cal State Bakersfield,United Spirit Arena,74,58,Texas Tech Red Raiders,Cal State Bakersfield,REG,United Spirit Arena,,,,,,,,,,,,
7324,2011-12-17 00:00:00,Marquette (11),Northern Colorado Bears,Bradley Center,93,72,Marquette (11),Northern Colorado Bears,REG,Bradley Center,,,,,,,,,,,,
6991,2012-01-19 00:00:00,Loyola (IL),Valparaiso Crusaders,Joseph J. Gentile Center,48,69,Valparaiso Crusaders,Loyola (IL),REG,Joseph J. Gentile Center,,,,,,,,,,,,
7898,2011-11-09 00:00:00,St. John's (NY) Red Storm,Lehigh,Carnesecca Arena,78,73,St. John's (NY) Red Storm,Lehigh,REG,Carnesecca Arena,,,,,,,,,,,,
6496,2012-01-07 00:00:00,Kentucky (2),South Carolina Gamecocks,Rupp Arena,79,64,Kentucky (2),South Carolina Gamecocks,REG,Rupp Arena,,,,,,,,,,,,
7691,2011-11-19 00:00:00,UT-Martin Skyhawks,Rochester (MI),Skyhawk Arena,76,59,UT-Martin Skyhawks,Rochester (MI),REG,Skyhawk Arena,,,,,,,,,,,,
4776,2012-01-21 00:00:00,South Dakota,Western Illinois Leathernecks,DakotaDome,45,47,Western Illinois Leathernecks,South Dakota,REG,DakotaDome,,,,,,,,,,,,
7090,2011-11-13 00:00:00,Wofford Terriers,Emory & Henry,Benjamin Johnson Arena,70,55,Wofford Terriers,Emory & Henry,REG,Benjamin Johnson Arena,,,,,,,,,,,,
7499,2012-01-15 00:00:00,Canisius,St. Peter's Peacocks,Koessler Athletic Center,60,74,St. Peter's Peacocks,Canisius,REG,Koessler Athletic Center,,,,,,,,,,,,
6384,2011-11-17 00:00:00,Southern Utah Thunderbirds,Montana State-Billings,Centrum,63,60,Southern Utah Thunderbirds,Montana State-Billings,REG,Centrum,,,,,,,,,,,,
5561,2012-03-07 00:00:00,Southern California,UCLA Bruins,Staples Center,40,55,UCLA Bruins,Southern California,CTOURN,Staples Center,,,,,,,,,,,,
8014,2012-02-25 00:00:00,Texas-Arlington Mavericks,Northwestern State,College Park Center,79,70,Texas-Arlington Mavericks,Northwestern State,REG,College Park Center,,,,,,,,,,,,
7675,2011-12-01 00:00:00,Loyola (MD) Greyhounds,Marist,Reitz Arena,76,63,Loyola (MD) Greyhounds,Marist,REG,Reitz Arena,,,,,,,,,,,,
6326,2011-12-22 00:00:00,Utah State,Kent State Golden Flashes,Dee Glen Smith Spectrum,81,62,Utah State,Kent State Golden Flashes,REG,Dee Glen Smith Spectrum,,,,,,,,,,,,
5934,2011-11-19 00:00:00,Kent State,Alcorn State Braves,Memorial Athletic & Convocation Center,77,58,Kent State,Alcorn State Braves,REG,Memorial Athletic & Convocation Center,,,,,,,,,,,,
4231,2011-11-25 00:00:00,Tulane,Alcorn State Braves,Avron B. Fogelman Arena,83,41,Tulane,Alcorn State Braves,REG,Avron B. Fogelman Arena,,,,,,,,,,,,
6615,2011-11-23 00:00:00,Old Dominion,Vermont Catamounts,Ted Constant Convocation Ctr.,63,65,Vermont Catamounts,Old Dominion,REG,Ted Constant Convocation Ctr.,,,,,,,,,,,,
5690,2012-01-19 00:00:00,Winthrop Eagles,Gardner-Webb,Winthrop Coliseum,56,54,Winthrop Eagles,Gardner-Webb,REG,Winthrop Coliseum,,,,,,,,,,,,
4496,2011-11-30 00:00:00,Texas A&M (25),Alcorn State Braves,Reed Arena,56,44,Texas A&M (25),Alcorn State Braves,REG,Reed Arena,,,,,,,,,,,,
